year,kind,rating,vote,runtime,genre1,country1,language1,cast1,cast2,director1,writer1
2003.0,2,7.7,474.0,50.0,6,62,16,894,5060,4207,3366
1994.0,7,8.1,18.0,83.0,8,62,16,3736,443,3752,5105
1992.0,1,5.5,93.0,95.0,0,37,33,2593,1698,4163,2648
2004.0,1,5.3,13432.0,60.0,6,62,16,3138,1572,4108,4961
1991.0,1,4.5,2177.0,96.0,4,62,16,659,3411,1147,2937
1999.0,0,unknown,176.5,120.0,6,67,64,5069,5897,4207,1598
1988.0,7,8.0,81.0,55.0,6,62,16,3523,4659,1072,2704
2005.0,7,4.8,7153.0,118.0,0,61,16,4959,5370,3654,3166
1990.0,3,7.1,2898.0,58.0,0,62,16,3843,4601,1627,5001
1972.0,1,6.8,1818.0,15.0,1,30,26,1257,5015,3217,2078
2001.0,3,7.6,768.0,75.0,7,61,16,3724,231,3038,4742
2004.0,0,7.2,67.0,205.0,2,62,16,4442,147,2233,3418
2001.0,3,7.2,901.0,87.0,7,62,16,2211,5413,708,4566
1999.0,0,7.7,286.0,55.0,6,62,16,3235,2613,409,5105
2000.0,4,7.6,23785.0,85.0,2,62,16,1132,1184,4207,983
1998.0,7,4.6,1484.0,117.0,2,62,16,2089,3783,3143,3981
1993.0,2,6.9,1605.0,90.0,7,61,16,2356,5066,4207,3295
1973.0,1,7.1,911.0,92.0,0,37,33,4385,5840,2264,5058
2003.0,7,2.8,120.0,72.0,18,62,16,2340,3211,3898,4335
1996.0,2,5.3,129.0,145.0,7,23,20,722,5894,4207,825
1986.0,1,5.7,6778.0,103.0,4,62,16,1263,1939,3859,4665
1996.0,1,7.0,6850.0,114.0,7,62,16,199,1599,2341,2857
1993.0,7,8.3,102.0,45.0,6,62,16,578,1926,4207,5105
2002.0,1,7.5,3562.0,74.0,6,62,16,2909,4316,3517,5105
2003.0,7,1.6,210.0,82.0,13,10,16,640,5129,442,543
2003.0,1,7.6,18930.0,105.0,7,7,46,2987,4054,1481,1763
1996.0,1,6.5,94804.0,97.0,0,62,16,1239,1331,3328,3641
2004.0,1,4.8,166.0,118.0,4,27,7,1886,3128,1857,2256
2004.0,1,6.3,35678.0,24.0,3,61,16,2459,4400,2330,4497
1999.0,3,7.4,112.0,92.0,6,62,16,4018,2863,477,2674
1985.0,1,4.1,2370.0,25.0,1,62,16,2816,3064,1559,1849
1997.0,7,5.5,1550.0,94.0,9,49,16,2488,1297,3859,4665
2001.0,4,8.3,20289.0,75.0,2,62,16,275,4695,4207,2209
1994.0,1,7.4,481.0,95.0,6,62,16,3231,5897,1251,1503
1974.0,1,7.5,2968.0,99.0,0,54,48,5037,256,2914,3540
1999.0,1,7.2,2040.0,96.0,4,59,59,2813,5179,3056,3714
2004.0,2,8.0,31414.0,160.0,2,37,16,4256,952,4207,2987
1996.0,1,4.7,726.0,110.0,0,27,39,1330,593,2422,3020
1998.0,4,7.5,636.0,100.0,2,37,16,1019,586,4207,4226
1999.0,7,8.1,57.0,94.0,26,62,16,740,3909,4207,3674
1996.0,7,8.5,230.0,60.0,6,62,16,2352,1661,4207,5105
1985.0,1,6.7,497.0,103.0,4,39,54,396,3589,1649,1993
2000.0,3,6.6,76.0,150.0,6,62,16,2902,5897,3171,4496
1989.0,1,6.7,123.0,92.0,4,27,7,2715,3529,241,308
1993.0,1,6.1,47.0,96.0,26,27,7,4543,1037,3663,2021
2004.0,1,6.9,2915.0,94.0,7,23,20,4271,4123,1737,2117
2004.0,7,8.9,148.0,95.0,6,62,16,4533,5545,2675,5105
1993.0,1,7.2,322.0,24.0,6,23,20,3360,696,712,2120
2000.0,7,8.0,3007.0,98.0,6,62,16,687,2983,1963,587
1988.0,2,6.9,1589.0,110.0,2,37,33,1889,3755,4207,2788
1973.0,2,8.1,293.0,91.0,16,61,16,1936,3681,4207,463
2004.0,1,7.1,3586.0,108.0,4,55,54,2523,1282,2783,3360
1999.0,7,unknown,165.0,81.0,6,62,16,872,5897,1393,5105
2002.0,1,5.5,1397.0,85.0,7,62,16,1299,2154,4201,1106
2004.0,7,7.6,84.0,60.0,14,62,16,754,557,2851,5105
2002.0,1,5.6,65498.0,88.0,7,10,16,2617,1924,205,4338
1995.0,1,6.7,3692.0,232.0,0,62,16,2148,3176,4067,4920
1985.0,1,7.4,3772.0,68.0,0,27,7,853,5183,3317,3998
2003.0,7,2.7,1662.0,101.0,13,62,16,4239,4924,3268,1568
2001.0,1,3.9,2853.0,82.0,0,55,54,885,177,1627,3139
1999.0,4,8.5,8010.0,102.0,2,37,33,4499,5515,4207,4841
1978.0,1,5.6,1382.0,88.0,4,61,16,1903,3911,3194,3856
2003.0,1,6.4,482.0,166.0,0,27,39,4947,4190,229,1928
1999.0,1,5.9,1534.0,134.0,0,27,7,4479,4199,1857,2256
1978.0,1,6.9,3746.0,95.0,4,23,20,1810,4353,347,447
2005.0,7,3.6,299.0,86.0,13,10,16,1846,883,416,520
1988.0,1,4.0,140.0,88.0,13,62,16,4964,3357,1222,3093
2002.0,7,7.3,18.0,103.0,6,62,16,1355,5897,2120,5105
1971.0,1,8.5,11015.0,95.0,4,54,48,1519,1923,115,1609
2000.0,2,7.3,2912.0,102.0,1,61,16,4941,876,4207,3016
1969.0,0,6.8,2063.0,66.0,22,61,16,2379,5466,1562,1654
2003.0,1,5.5,1491.0,95.0,7,10,16,3681,3415,2397,2714
1982.0,1,7.7,4040.0,95.0,4,62,16,3991,1875,1874,3686
2004.0,1,7.9,59473.0,45.0,4,23,20,1811,1811,665,1607
1996.0,1,6.8,1433.0,90.0,4,24,22,907,804,3455,4147
2002.0,1,8.0,911.0,108.0,6,10,16,3522,4907,2920,5105
2001.0,1,7.8,2778.0,95.0,6,62,16,4657,60,1047,5105
2001.0,7,8.0,259.0,91.0,14,62,16,3454,1727,1250,5105
2003.0,1,7.4,527257.0,60.0,0,62,16,3680,2223,505,5099
2001.0,4,6.1,137.0,100.0,2,37,33,4822,2648,4207,2684
2005.0,1,6.7,21.0,100.0,6,61,16,1655,1157,3942,5105
2004.0,3,6.5,398.0,84.0,7,10,16,2569,3303,1019,394
1992.0,1,7.7,140.0,60.0,6,10,16,11,32,2881,3514
