,title,year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
0,Dinosaur Planet,2003.0,tv mini series,7.7,474.0,50.0,'Documentary', 'Animation','United States',,'English',,'Christian Slater', 'Scott Sampson',,,,,'Mike Carrol', 'Mike Carroll'
1,Get Up and Dance!,1994.0,video movie,8.1,18.0,83.0,'Family',,'United States',,'English',,'Paula Abdul', 'Aurorah Allain','Steve Purcell',,,,,
2,8 Man,1992.0,movie,5.5,93.0,,'Action', 'Sci-Fi','Japan',,'Japanese',,'Kai Shishido', 'Etsushi Takahashi','Yasuhiro Horiuchi',,'Carole King',,'Kazumasa Hirai', 'Jirô Kuwata'
3,What the #$*! Do We (K)now!?,2004.0,movie,5.3,13432.0,60.0,'Documentary', 'Comedy','United States',,'English', 'German','Marlee Matlin', 'Elaine Hendrix','William Arntz', 'Betsy Chasse','Christopher Franke',,'William Arntz', 'Betsy Chasse'
4,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991.0,movie,4.5,2177.0,96.0,'Comedy', 'Horror','United States',,'English',,'Brick Bronsky', 'Lisa Gaye','Eric Louzil',,'Bob Mithoff',,'Lloyd Kaufman', 'Carl Morano'
5,Antarctica: The End of Earth - Iceberg,1999.0,episode,,,120.0,'Documentary', 'Family',,,,,,,,,,,'George Page',
6,Neil Diamond: Greatest Hits Live,1988.0,video movie,8.0,81.0,55.0,'Documentary', 'Music','United States',,'English',,'Neil Diamond', 'Richard Bennett','Dwight Hemion', 'Peter Israelson',,,'Kenny Solms', 'Ann Elder'
7,7 Seconds,2005.0,video movie,4.8,7153.0,118.0,'Action', 'Comedy','United Kingdom', 'Romania','English',,'Wesley Snipes', 'Tamzin Outhwaite','Simon Fellows',,'Barry Taylor', 'Neal Acree','Martin Wheeler',
8,By Dawn's Early Light,1990.0,tv movie,7.1,2898.0,58.0,'Action', 'Drama','United States',,'English', 'Russian','Powers Boothe', 'Rebecca De Mornay','Jack Sholder',,'Trevor Jones',,'William Prochnau', 'Bruce Gilbert'
9,Seeta Aur Geeta,1972.0,movie,6.8,1818.0,15.0,'Adventure', 'Comedy','India',,'Hindi',,'Dharmendra', 'Sanjeev Kumar','Ramesh Sippy',,'Rahul Dev Burman',,'Javed Akhtar', 'Javed Akhtar'
10,Strange Relations,2001.0,tv movie,7.6,768.0,75.0,'Drama', 'Comedy','United Kingdom', 'United States','English',,'Paul Reiser', 'Amber Sealey','Paul Seed',,'Rupert Gregson-Williams',,'Tim Kazurinsky',
11,Sesame Street Presents: The Street We Live On,2004.0,episode,7.2,67.0,205.0,'Animation', 'Adventure','United States',,'English', 'Spanish','Sonia Manzano', 'Alan Muraoka','Kevin Clash', 'Ken Diego',,,'Molly Boylan', 'Annie Evans'
12,Boycott,2001.0,tv movie,7.2,901.0,87.0,'Drama', 'History','United States',,'English',,'Jeffrey Wright', 'Terrence Howard','Clark Johnson',,'Joseph Vitarelli',,'Stewart Burns', 'Herman Daniel Farrell'
13,Meat Loaf: Bat Out of Hell,1999.0,episode,7.7,286.0,55.0,'Documentary', 'Music','United States',,'English',,'Meat Loaf', 'Jim Steinman','Bob Smeaton',,,,,
14,Aqua Teen Hunger Force,2000.0,tv series,7.6,23785.0,85.0,'Animation', 'Comedy','United States',,'English',,'Dave Willis', 'Dana Snyder',,,,,'Dave Willis', 'Dave Willis'
15,FernGully 2: The Magical Rescue,1998.0,video movie,4.6,1484.0,117.0,'Animation', 'Adventure','United States',,'English',,'James S. Baker', 'Matt K. Miller','Phil Robinson', 'David Marshall','Nerida Tyson-Chew',,'Richard Tulloch', 'Diana Young'
16,Lady Chatterley,1993.0,tv mini series,6.9,1605.0,90.0,'Drama', 'Romance','United Kingdom',,'English',,'Joely Richardson', 'Sean Bean',,,,,'Michael Haggiag', 'D.H. Lawrence'
17,Zatoichi's Conspiracy,1973.0,movie,7.1,911.0,92.0,'Action', 'Drama','Japan',,'Japanese',,'Shintarô Katsu', 'Yukiyo Toake','Kimiyoshi Yasuda',,'Akira Ifukube',,'Yoshi Hattori', 'Kan Shimozawa'
18,Daydream Obsession,2003.0,video movie,2.8,120.0,72.0,'Romance',,'United States',,'English',,'Joe Dain', 'Kris Black','Thomas R. Smyth',,,,'Scott Yarbrough',
19,Love Reinvented,1996.0,tv mini series,5.3,129.0,145.0,'Drama', 'Comedy','France',,'French', 'English','Bérénice Bejo', 'Éric Caravaca',,,,,'Clarisse Battas', 'Clarisse Battas'
20,TerrorVision,1986.0,movie,5.7,6778.0,103.0,'Comedy', 'Horror','United States', 'Italy','English',,'Diane Franklin', 'Gerrit Graham','Ted Nicolaou',,'Richard Band',,'Ted Nicolaou',
21,The Spitfire Grill,1996.0,movie,7.0,6850.0,114.0,'Drama',,'United States',,'English',,'Alison Elliott', 'Ellen Burstyn','Lee David Zlotoff',,'James Horner',,'Lee David Zlotoff',
22,The Complete Truth About De-Evolution,1993.0,video movie,8.3,102.0,45.0,'Documentary', 'Comedy','United States',,'English',,'Bob Casale', 'Gerald Casale',,,'Gerald Casale', 'Mark Mothersbaugh',,
23,The Weather Underground,2002.0,movie,7.5,3562.0,74.0,'Documentary', 'History','United States',,'English',,'Lili Taylor', 'Pamela Z','Sam Green', 'Bill Siegel','David Cerf', 'Amy Domingues',,
24,The Bonesetter,2003.0,video movie,1.6,210.0,82.0,'Horror', 'Thriller','Canada',,'English',,'Brett Kelly', 'Sherry Thurig','Brett Kelly',,'Sylvain Lavigne',,'Brett Kelly',
25,Carandiru,2003.0,movie,7.6,18930.0,105.0,'Drama', 'Crime','Brazil', 'Argentina','Portuguese',,'Luiz Carlos Vasconcelos', 'Milton Gonçalves','Hector Babenco',,'André Abujamra',,'Hector Babenco', 'Fernando Bonassi'
26,DragonHeart,1996.0,movie,6.5,94804.0,97.0,'Action', 'Adventure','United States',,'English',,'Dennis Quaid', 'David Thewlis','Rob Cohen',,'Randy Edelman',,'Patrick Read Johnson', 'Charles Edward Pogue'
27,Sex and the Beauties,2004.0,movie,4.8,166.0,118.0,'Comedy', 'Romance','Hong Kong',,'Cantonese',,'Hin-Wai Au', 'Kenny Bee','Jing Wong',,,,'Jing Wong',
28,The Libertine,2004.0,movie,6.3,35678.0,24.0,'Biography', 'Drama','United Kingdom', 'Australia','English',,'Johnny Depp', 'Paul Ritter','Laurence Dunmore',,'Michael Nyman',,'Stephen Jeffreys', 'Stephen Jeffreys'
29,Ricky Martin: One Night Only,1999.0,tv movie,7.4,112.0,92.0,'Documentary', 'Music','United States',,'English',,'Ricky Martin', 'José Feliciano','Bruce Gowers',,,,'Ken Ehrlich',
30,Barbarian Queen,1985.0,movie,4.1,2370.0,25.0,'Adventure', 'Fantasy','United States', 'Argentina','English',,'Lana Clarkson', 'Katt Shea','Héctor Olivera',,'James Horner', 'Christopher Young','Howard R. Cohen',
31,Vampire Journals,1997.0,video movie,5.5,1550.0,,'Fantasy', 'Horror','Romania', 'United States','English',,'Jonathon Morris', 'David Gunn','Ted Nicolaou',,'Richard Kosinski',,'Ted Nicolaou',
32,Invader ZIM,2001.0,tv series,8.3,20289.0,75.0,'Animation', 'Action','United States',,'English',,'Andy Berman', 'Richard Steven Horvitz',,,,,'Jhonen Vasquez', 'Jhonen Vasquez'
33,Maya Lin: A Strong Clear Vision,1994.0,movie,7.4,481.0,,'Documentary', 'Biography','United States',,'English',,'Maya Lin',,'Freida Lee Mock',,'Charles Bernstein',,'Freida Lee Mock',
34,"At Home Among Strangers, a Stranger Among His Own",1974.0,movie,7.5,2968.0,99.0,'Action', 'Adventure','Soviet Union',,'Russian',,'Yuriy Bogatyryov', 'Anatoliy Solonitsyn','Nikita Mikhalkov',,'Eduard Artemyev',,'Nikita Mikhalkov', 'Eduard Volodarskiy'
35,6ixtynin9,1999.0,movie,7.2,2040.0,96.0,'Comedy', 'Crime','Thailand',,'Thai',,'Lalita Panyopas', 'Sirisin Siripornsmathikul','Pen-Ek Ratanaruang',,,,'Pen-Ek Ratanaruang',
36,Elfen Lied,2004.0,tv mini series,8.0,31414.0,160.0,'Animation', 'Action','Japan',,'English', 'Japanese','Sanae Kobayashi', 'Chihiro Suzuki',,,,,'Lynn Okamoto', 'Lynn Okamoto'
37,Iron Monkey 2,1996.0,movie,4.7,726.0,110.0,'Action',,'Hong Kong', 'Taiwan','Mandarin', 'Cantonese','Donnie Yen', 'Billy Chow','Lu Chiang Chao', 'Lan Jing','Fu-Yung Chou', 'Chien-Yuan Huang','Man Choi Lee', 'Daoyuan Qian'
38,Record of Lodoss War: Chronicles of the Heroic Knight,1998.0,tv series,7.5,636.0,100.0,'Animation', 'Action','Japan',,'English',,'Crispin Freeman', 'Bill Timoney',,,,,'Ryo Mizuno',
39,ECW Cyberslam '99,1999.0,video movie,8.1,57.0,,,,'United States',,'English',,'Carlene Begnaud', 'Michael Bucci',,,,,'Paul Heyman',
40,G3 Live in Concert,1996.0,video movie,8.5,230.0,60.0,'Documentary', 'Music','United States',,'English',,'Joe Satriani', 'Eric Johnson',,,'Eric Johnson', 'Joe Satriani',,
41,Dona Herlinda and Her Son,1985.0,movie,6.7,497.0,103.0,'Comedy', 'Drama','Mexico',,'Spanish',,'Arturo Meza', 'Marco Treviño','Jaime Humberto Hermosillo',,,,'Jaime Humberto Hermosillo', 'Jaime Humberto Hermosillo'
42,Inside the Space Station,2000.0,tv movie,6.6,76.0,150.0,'Documentary',,'United States',,'English',,'Liam Neeson',,'Pierre de Lespinois',,'Michael Whalen',,'Stephen Jay Schwartz',
43,A Fishy Story,1989.0,movie,6.7,123.0,92.0,'Comedy', 'Drama','Hong Kong',,'Cantonese',,'Kenny Bee', 'Maggie Cheung','Anthony Chan',,,,'Anthony Chan', 'Eddie Ling-Ching Fong'
44,White Lotus Cult,1993.0,movie,6.1,47.0,96.0,,,'Hong Kong',,'Cantonese', 'Mandarin','Sui Chun Do', 'Chuan-Chen Yeh','Siu-Keung Cheng',,,,'James Fung',
45,Notre musique,2004.0,movie,6.9,2915.0,94.0,'Drama',,'France', 'Switzerland','French', 'Arabic','Sarah Adler', 'Nade Dieu','Jean-Luc Godard',,,,'Jean-Luc Godard',
46,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,2004.0,video movie,8.9,148.0,95.0,'Documentary', 'Music','United States',,'English',,'Stevie Ray Vaughan', 'Tommy Shannon','Michael B. Borofsky',,,,,
47,L'oeil de Vichy,1993.0,movie,7.2,322.0,24.0,'Documentary', 'War','France',,'French', 'German','Michel Bouquet', 'Brian Cox','Claude Chabrol',,,,'Jean-Pierre Azéma', 'Robert O. Paxton'
48,Bruce Lee: A Warrior's Journey,2000.0,video movie,8.0,3007.0,98.0,'Documentary', 'Action','United States', 'United Kingdom','English', 'Cantonese','Bruce Lee', 'Kareem Abdul-Jabbar','John Little', 'Bruce Lee','Wayne Hawkins',,'Bruce Lee', 'John Little'
49,Dominion Tank Police,1988.0,tv mini series,6.9,1589.0,110.0,'Animation', 'Action','Japan',,'Japanese',,'Hiromi Tsuru', 'Masaaki Ôkura',,,,,'Kôichi Mashimo', 'Futoshi Takano'
50,Murder Must Advertise,1973.0,tv mini series,8.1,293.0,91.0,'Mystery',,'United Kingdom',,'English',,'Ian Carmichael', 'Mark Eden',,,,,'Bill Craig', 'Dorothy L. Sayers'
51,Bear Cub,2004.0,movie,7.1,3586.0,108.0,'Comedy', 'Drama','Spain',,'Spanish', 'French','José Luis García Pérez', 'David Castillo','Miguel Albaladejo',,'Lucio Godoy',,'Miguel Albaladejo', 'Salvador García Ruiz'
52,Travel the World by Train: Africa,1999.0,video movie,,,81.0,'Documentary',,'United States',,'English',,'Chris Cound',,'Graham Loveridge',,,,,
53,Briar Patch,2002.0,movie,5.5,1397.0,85.0,'Drama', 'Romance','United States',,'English',,'Dominique Swain', 'Henry Thomas','Zev Berman',,'Nathan Barr',,'Deborah Pryor',
54,Beyoncé: Live at Wembley,2004.0,video movie,7.6,84.0,60.0,'Music',,'United States',,'English',,'Carmit Bachar', 'Beyoncé','Nahum',,,,,
55,Cube²: Hypercube,2002.0,movie,5.6,65498.0,88.0,'Drama', 'Mystery','Canada',,'English',,'Kari Matchett', 'Geraint Wyn Davies','Andrzej Sekula',,'Norman Orenstein',,'Sean Hood', 'Sean Hood'
56,Coldblooded,1995.0,movie,6.7,3692.0,232.0,'Action', 'Comedy','United States',,'English',,'Jason Priestley', 'Kimberly Williams-Paisley','Wallace Wolodarsky',,'Steve Bartek',,'Wallace Wolodarsky',
57,Mr. Vampire,1985.0,movie,7.4,3772.0,68.0,'Action', 'Comedy','Hong Kong',,'Cantonese',,'Ching-Ying Lam', 'Siu-Ho Chin','Ricky Lau',,'Melody Bank',,'Ricky Lau', 'Cheuk-Hon Szeto'
58,DarkWolf,2003.0,video movie,2.7,1662.0,101.0,'Horror',,'United States',,'English',,'Samaire Armstrong', 'Ryan Alosio','Richard Friedman',,'Geoff Levin',,'Geoffrey Alan Holliday', 'Chuck Scholl'
59,Arachnid,2001.0,movie,3.9,2853.0,82.0,'Action', 'Adventure','Spain', 'United States','Spanish', 'English','Chris Potter', 'Alex Reid','Jack Sholder',,'Francesc Gener',,'Mark Sevi',
60,GTO: Great Teacher Onizuka,1999.0,tv series,8.5,8010.0,102.0,'Animation', 'Comedy','Japan',,'Japanese', 'English','Steve Blum', 'Tom Fahn',,,,,'Tôru Fujisawa',
61,The Cat and the Canary,1978.0,movie,5.6,1382.0,88.0,'Comedy', 'Mystery','United Kingdom',,'English',,'Honor Blackman', 'Michael Callan','Radley Metzger',,'Steven Cagan',,'Radley Metzger', 'John Willard'
62,Goddess of Mercy,2003.0,movie,6.4,482.0,166.0,'Action', 'Crime','Hong Kong', 'China','Mandarin',,'Wei Zhao', 'Nicholas Tse','Ann Hui',,'Lin Zhao',,'Ivy Ho', 'Hai Yan'
63,The Tricky Master,1999.0,movie,5.9,1534.0,134.0,'Action', 'Comedy','Hong Kong',,'Cantonese', 'English','Stephen Chow', 'Nick Cheung','Jing Wong',,'Lincoln Lo',,'Jing Wong',
64,Get Out Your Handkerchiefs,1978.0,movie,6.9,3746.0,,'Comedy', 'Drama','France', 'Belgium','French',,'Gérard Depardieu', 'Patrick Dewaere','Bertrand Blier',,'Georges Delerue',,'Bertrand Blier',
65,Sleepover Nightmare,2005.0,video movie,3.6,299.0,86.0,'Horror',,'Canada',,'English',,'Hayley Sales', 'Chad Rook','Boon Collins',,'Ross Vannelli',,'Boon Collins',
66,Demon Warrior,1988.0,movie,4.0,140.0,88.0,'Horror',,'United States',,'English',,'Wiley M. Pickett', 'Leslie Mullin','Frank Patterson',,,,'Mark Baird', 'Frank Patterson'
67,White Knuckle Extreme: Higher Ground,2002.0,video movie,7.3,18.0,103.0,'Documentary', 'Sport','United States',,'English',,'Dusty Beer',,'Justin Deschamps',,'Brandon Slagle',,,
68,Gentlemen of Fortune,1971.0,movie,8.5,11015.0,95.0,'Comedy', 'Crime','Soviet Union',,'Russian',,'Evgeniy Leonov', 'Georgiy Vitsin','Aleksandr Seryy',,'Gennadiy Gladkov',,'Georgiy Daneliya', 'Viktoriya Tokareva'
69,Gormenghast,2000.0,tv mini series,7.3,2912.0,102.0,'Adventure', 'Comedy','United Kingdom', 'United States','English',,'Warren Mitchell', 'Celia Imrie',,,,,'Malcolm McKay', 'Mervyn Peake'
70,How to Irritate People,1969.0,episode,6.8,2063.0,66.0,'Talk-Show',,'United Kingdom',,'English',,'John Cleese', 'Tim Brooke-Taylor','Ian Fordyce',,,,'Graham Chapman', 'John Cleese'
71,One Last Dance,2003.0,movie,5.5,1491.0,,'Drama', 'Romance','Canada',,'English',,'Patrick Swayze', 'Lisa Niemi','Lisa Niemi',,'Stacy Widelitz',,'Kevin Bernhardt', 'Lisa Niemi'
72,Richard Pryor: Live on the Sunset Strip,1982.0,movie,7.7,4040.0,,'Comedy',,'United States',,'English',,'Richard Pryor', 'Gene Cross','Joe Layton',,'Harry Betts',,'Paul Mooney', 'Richard Pryor'
73,The Chorus,2004.0,movie,7.9,59473.0,45.0,'Comedy', 'Drama','France', 'Switzerland','French',,'Gérard Jugnot', 'François Berléand','Christophe Barratier',,'Bruno Coulais',,'Georges Chaperot', 'René Wheeler'
74,Regular Guys,1996.0,movie,6.8,1433.0,90.0,'Comedy', 'Crime','Germany',,'German', 'Russian','Christoph M. Ohrt', 'Carin C. Tietze','Rolf Silber',,'Peter W. Schmitt',,'Rolf Silber', 'Rudolf Bergmann'
75,Bollywood Bound,2002.0,movie,8.0,911.0,108.0,'Documentary',,'Canada',,'English', 'Hindi','Neeru Bajwa', 'Ruby Bhatia','Nisha Pahuja',,,,,
76,Scratch,2001.0,movie,7.8,2778.0,,'Documentary', 'Music','United States',,'English',,'The Allies', 'A-Trak','Doug Pray',,'Mix Master Mike', 'DJ Q-Bert',,
